"","Date","daily_new_cases"
"1",2020-05-13 00:00:00,901
"2",2020-05-14 00:00:00,1013
"3",2020-05-15 00:00:00,1046
"4",2020-05-16 00:00:00,292
"5",2020-05-17 00:00:00,140
"6",2020-05-18 00:00:00,1124
"7",2020-05-19 00:00:00,1056
"8",2020-05-20 00:00:00,1060
"9",2020-05-21 00:00:00,197
"10",2020-05-22 00:00:00,827
"11",2020-05-23 00:00:00,267
"12",2020-05-24 00:00:00,140
"13",2020-05-25 00:00:00,717
"14",2020-05-26 00:00:00,778
"15",2020-05-27 00:00:00,732
"16",2020-05-28 00:00:00,644
"17",2020-05-29 00:00:00,597
"18",2020-05-30 00:00:00,372
"19",2020-05-31 00:00:00,188
"20",2020-06-01 00:00:00,176
"21",2020-06-02 00:00:00,745
"22",2020-06-03 00:00:00,679
"23",2020-06-04 00:00:00,631
"24",2020-06-05 00:00:00,565
"25",2020-06-06 00:00:00,297
"26",2020-06-07 00:00:00,138
"27",2020-06-08 00:00:00,564
"28",2020-06-09 00:00:00,577
"29",2020-06-10 00:00:00,566
"30",2020-06-11 00:00:00,626
"31",2020-06-12 00:00:00,615
"32",2020-06-13 00:00:00,217
"33",2020-06-14 00:00:00,134
"34",2020-06-15 00:00:00,501
"35",2020-06-16 00:00:00,573
"36",2020-06-17 00:00:00,747
"37",2020-06-18 00:00:00,580
"38",2020-06-19 00:00:00,700
"39",2020-06-20 00:00:00,351
"40",2020-06-21 00:00:00,113
"41",2020-06-22 00:00:00,602
"42",2020-06-23 00:00:00,661
"43",2020-06-24 00:00:00,672
"44",2020-06-25 00:00:00,512
"45",2020-06-26 00:00:00,579
"46",2020-06-27 00:00:00,339
"47",2020-06-28 00:00:00,214
"48",2020-06-29 00:00:00,676
"49",2020-06-30 00:00:00,728
"50",2020-07-01 00:00:00,634
"51",2020-07-02 00:00:00,593
"52",2020-07-03 00:00:00,749
"53",2020-07-04 00:00:00,353
"54",2020-07-05 00:00:00,103
"55",2020-07-06 00:00:00,681
"56",2020-07-07 00:00:00,572
"57",2020-07-08 00:00:00,704
"58",2020-07-09 00:00:00,708
"59",2020-07-10 00:00:00,856
"60",2020-07-11 00:00:00,353
"61",2020-07-12 00:00:00,117
"62",2020-07-13 00:00:00,880
"63",2020-07-14 00:00:00,183
"64",2020-07-15 00:00:00,858
"65",2020-07-16 00:00:00,978
"66",2020-07-17 00:00:00,963
"67",2020-07-18 00:00:00,446
"68",2020-07-19 00:00:00,192
"69",2020-07-20 00:00:00,1037
"70",2020-07-21 00:00:00,1100
"71",2020-07-22 00:00:00,1174
"72",2020-07-23 00:00:00,1153
"73",2020-07-24 00:00:00,1277
"74",2020-07-25 00:00:00,628
"75",2020-07-26 00:00:00,264
"76",2020-07-27 00:00:00,1433
